
 
Strategy strategy report for EUR/USD instrument(s) from 2025-10-05 21:00:00 to 2025-10-12 20:59:59
Account Currency	EUR
Initial Equity	10’000
Final Equity	4’766.2
Turnover	251’583’937.39
Commission Fees	5267.46

Instrument EUR/USD

First tick time	2025-10-05 21:00:00
First BID	1.17382
First ASK	1.17458
Last tick time	2025-10-10 20:59:59
Last BID	1.16149
Last ASK	1.162
Positions total	383
Closed positions	375
Orders total	1470
Amount bought	125.26
Amount sold	125.08
Turnover	251’583’937.39
Commission Fees	5261.66

Opened orders:

Label	Amount	Direction	Open price	Profit/Loss at the end	Profit/Loss at the end in pips	Open date	Comment
2025-10-07 01:32:31	Position closed	Position [random_order_331, EUR/USD, BUY, 603.0 at 1.17127] closed by stop loss event, amount 603.0 at 1.17027
2025-10-07 01:35:09	Position closed	Position [random_order_264, EUR/USD, BUY, 2340.0 at 1.1713145] closed by stop loss event, amount 2340.0 at 1.17017
2025-10-07 01:35:09	Position closed	Position [random_order_281, EUR/USD, BUY, 2340.0 at 1.1714245] closed by stop loss event, amount 2340.0 at 1.17017
2025-10-07 01:35:09	Position closed	Position [random_order_331, EUR/USD, BUY, 2340.0 at 1.17127] closed by stop loss event, amount 2340.0 at 1.17017
2025-10-07 01:38:59	Position closed	Position [random_order_264, EUR/USD, BUY, 845.0 at 1.1713145] closed by stop loss event, amount 845.0 at 1.17008
2025-10-07 01:38:59	Position closed	Position [random_order_281, EUR/USD, BUY, 845.0 at 1.1714245] closed by stop loss event, amount 845.0 at 1.17008
2025-10-07 01:38:59	Position closed	Position [random_order_331, EUR/USD, BUY, 845.0 at 1.17127] closed by stop loss event, amount 845.0 at 1.17008
2025-10-07 01:38:59	Position closed	Position [random_order_264, EUR/USD, BUY, 157.0 at 1.1713145] closed by stop loss event, amount 157.0 at 1.17005
2025-10-07 01:38:59	Position closed	Position [random_order_281, EUR/USD, BUY, 157.0 at 1.1714245] closed by stop loss event, amount 157.0 at 1.17005
2025-10-07 01:38:59	Position closed	Position [random_order_331, EUR/USD, BUY, 156.0 at 1.17127] closed by stop loss event, amount 156.0 at 1.17005
2025-10-07 01:39:01	Position closed	Position [random_order_264, EUR/USD, BUY, 304.0 at 1.1713145] closed by stop loss event, amount 304.0 at 1.17004
2025-10-07 01:39:01	Position closed	Position [random_order_281, EUR/USD, BUY, 304.0 at 1.1714245] closed by stop loss event, amount 304.0 at 1.17004
2025-10-07 01:39:01	Position closed	Position [random_order_331, EUR/USD, BUY, 304.0 at 1.17127] closed by stop loss event, amount 304.0 at 1.17004
2025-10-07 01:39:19	Position closed	Position [random_order_264, EUR/USD, BUY, 9.0 at 1.1713145] closed by stop loss event, amount 9.0 at 1.17003
2025-10-07 01:39:19	Position closed	Position [random_order_281, EUR/USD, BUY, 9.0 at 1.1714245] closed by stop loss event, amount 9.0 at 1.17003
2025-10-07 01:39:19	Position closed	Position [random_order_331, EUR/USD, BUY, 10.0 at 1.17127] closed by stop loss event, amount 10.0 at 1.17003
2025-10-07 01:39:24	Position closed	Position [random_order_264, EUR/USD, BUY, 5617.0 at 1.1713145] closed by stop loss event, amount 5617.0 at 1.16999
2025-10-07 01:39:24	Position closed	Position [random_order_281, EUR/USD, BUY, 5617.0 at 1.1714245] closed by stop loss event, amount 5617.0 at 1.16999
2025-10-07 01:39:24	Position closed	Position [random_order_331, EUR/USD, BUY, 5617.0 at 1.17127] closed by stop loss event, amount 5617.0 at 1.16999
